"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.7251,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.7972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.8818,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.8995,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.8712,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.7794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.6501,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.492,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.4625,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.5284,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.6686,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7745,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.7064,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.2105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.14299,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.00422,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.65148,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.86388,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.14763,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.40199,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.61224,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.68344,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.68794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.80402,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.95028,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.23844,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.66391,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.0034,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.2615,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.4244,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-07",100.3251,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.0732,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-09",99.89124,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-10",99.68864,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.44859,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.20548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.87149,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.40817,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.86771,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.47568,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-05",97.10179,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.73094,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.53242,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.53391,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.53684,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.61087,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.77543,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2022-12",97.05366,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.40816,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-01",99.78539,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.65299,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.64274,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.8019,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.0397,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.1235,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.166,
